time,high_c_1,high_c_2,high_c_3,high_c,high_d_1,high_d_2,high_d_3,high_d,low_c_1,low_c_2,low_c_3,low_c,low_d_1,low_d_2,low_d_3,low_d,c_c_1,c_c_2,c_c_3,c_c,c_d_1,c_d_2,c_d_3,c_d
16.75,1.0236,1.0188,1.0597,1.034033333,1.0155,1.036,1.0469,1.0328,0.9619,0.9878,1.0341,0.9946,0.676,0.7727,0.7367,0.728466667,0.9197,1.0186,0.9933,0.9772,0.0776,0.0758,0.0762,0.076533333
17,1.0349,1.033,1.0717,1.046533333,1.0288,1.0508,1.0631,1.047566667,0.9726,1.0011,1.0456,1.006433333,0.6962,0.79,0.7564,0.747533333,0.931,1.0332,1.0091,0.9911,0.0775,0.0758,0.0761,0.076466667
17.25,1.0437,1.044,1.0816,1.056433333,1.0392,1.0632,1.0739,1.058766667,0.9803,1.0126,1.055,1.015966667,0.7132,0.8073,0.7742,0.7649,0.9474,1.0469,1.0233,1.005866667,0.0775,0.0757,0.0762,0.076466667
17.5,1.0504,1.0544,1.0888,1.064533333,1.0475,1.0773,1.0854,1.070066667,0.9862,1.0224,1.0614,1.023333333,0.7317,0.8248,0.7918,0.782766667,0.9602,1.0604,1.0389,1.019833333,0.0776,0.0758,0.0761,0.0765
17.75,1.0553,1.0624,1.0955,1.071066667,1.0548,1.0875,1.0954,1.079233333,0.9907,1.0302,1.068,1.029633333,0.7512,0.8423,0.8103,0.801266667,0.9716,1.0711,1.0538,1.032166667,0.0775,0.0758,0.0761,0.076466667
18,1.0589,1.0678,1.0992,1.0753,1.0572,1.0954,1.1021,1.0849,0.9935,1.0368,1.0729,1.0344,0.7682,0.8581,0.8282,0.818166667,0.9842,1.0813,1.0677,1.0444,0.0774,0.0756,0.0761,0.076366667
18.25,1.0617,1.0716,1.1027,1.078666667,1.0626,1.1027,1.1059,1.0904,0.9962,1.0404,1.0751,1.037233333,0.7844,0.8743,0.845,0.834566667,0.9954,1.089,1.0795,1.054633333,0.0774,0.0757,0.0761,0.0764
18.5,1.0637,1.0751,1.1051,1.0813,1.0657,1.1067,1.1114,1.0946,0.9989,1.0435,1.0778,1.040066667,0.8036,0.8904,0.8624,0.852133333,1.0045,1.0953,1.0909,1.063566667,0.0773,0.0757,0.076,0.076333333
18.75,1.0643,1.0771,1.1071,1.082833333,1.0674,1.11,1.114,1.097133333,0.9994,1.0464,1.0794,1.041733333,0.8201,0.9079,0.8802,0.8694,1.0116,1.1002,1.0989,1.070233333,0.0771,0.0756,0.0759,0.0762
19,1.0652,1.0792,1.1081,1.084166667,1.0685,1.1127,1.1157,1.098966667,1.0004,1.0479,1.0805,1.042933333,0.8356,0.9216,0.8969,0.8847,1.0193,1.104,1.1048,1.076033333,0.0769,0.0755,0.076,0.076133333
19.25,1.0665,1.0796,1.1102,1.085433333,1.0698,1.1142,1.1157,1.0999,1.0016,1.0503,1.0818,1.044566667,0.8521,0.9378,0.9123,0.900733333,1.0247,1.1064,1.1092,1.0801,0.077,0.0755,0.0759,0.076133333
19.5,1.0661,1.08,1.1093,1.085133333,1.0703,1.1149,1.1168,1.100666667,1.001,1.0505,1.0818,1.044433333,0.8685,0.9544,0.9282,0.917033333,1.0265,1.1076,1.1116,1.0819,0.0769,0.0755,0.0759,0.0761
19.75,1.0665,1.0807,1.1101,1.085766667,1.0703,1.1154,1.1168,1.100833333,1.0018,1.0503,1.0821,1.044733333,0.8837,0.968,0.9427,0.931466667,1.0317,1.1089,1.1142,1.084933333,0.0771,0.0757,0.0761,0.0763
20,1.0668,1.0807,1.1101,1.085866667,1.0702,1.1164,1.1178,1.101466667,1.0016,1.0512,1.0836,1.045466667,0.8965,0.9801,0.9593,0.9453,1.0331,1.1094,1.1161,1.0862,0.0772,0.0757,0.0762,0.076366667
20.25,1.0667,1.0799,1.1095,1.085366667,1.0696,1.1154,1.1175,1.100833333,1.0009,1.0512,1.0827,1.044933333,0.9103,0.9906,0.9732,0.958033333,1.0319,1.1089,1.1162,1.085666667,0.0771,0.0757,0.0761,0.0763
20.5,1.0671,1.0799,1.1098,1.0856,1.0695,1.1161,1.1164,1.100666667,1.001,1.0512,1.0822,1.0448,0.9234,0.9996,0.9864,0.9698,1.0323,1.1087,1.1164,1.0858,0.0772,0.0758,0.0762,0.0764
20.75,1.0667,1.0796,1.1092,1.085166667,1.0682,1.1156,1.1158,1.099866667,1.0003,1.0509,1.0817,1.0443,0.9334,1.008,0.9998,0.9804,1.0321,1.1085,1.1159,1.0855,0.0773,0.0757,0.0761,0.076366667
21,1.0671,1.0794,1.109,1.085166667,1.0676,1.1151,1.1155,1.0994,0.9998,1.0505,1.0815,1.043933333,0.944,1.0154,1.0115,0.9903,1.0307,1.1082,1.1161,1.085,0.0773,0.0758,0.0762,0.076433333
21.25,1.067,1.0791,1.1089,1.085,1.0681,1.1151,1.1156,1.0996,0.9999,1.0506,1.0817,1.044066667,0.9519,1.0181,1.0233,0.997766667,1.0291,1.108,1.1178,1.084966667,0.0775,0.0759,0.0764,0.0766
21.5,1.0665,1.0785,1.1082,1.0844,1.0672,1.1148,1.1141,1.0987,0.9997,1.0505,1.0807,1.043633333,0.9562,1.0202,1.0325,1.002966667,1.0281,1.1074,1.1162,1.0839,0.0775,0.0758,0.0763,0.076533333
21.75,1.0665,1.0778,1.1081,1.084133333,1.0665,1.114,1.1146,1.098366667,0.9996,1.0496,1.0807,1.0433,0.9586,1.0215,1.0397,1.0066,1.027,1.1069,1.1169,1.0836,0.0774,0.0758,0.0762,0.076466667
22,1.0665,1.0784,1.1076,1.084166667,1.0659,1.1139,1.1135,1.097766667,0.9993,1.0494,1.081,1.043233333,0.9619,1.0242,1.0456,1.010566667,1.0269,1.1074,1.1152,1.083166667,0.0776,0.0758,0.0763,0.076566667
22.25,1.0657,1.0777,1.1074,1.0836,1.0659,1.1133,1.1151,1.0981,0.999,1.0496,1.0807,1.0431,0.965,1.0252,1.0502,1.013466667,1.0249,1.107,1.1157,1.082533333,0.0775,0.0758,0.0762,0.0765
22.5,1.0658,1.0773,1.1069,1.083333333,1.0657,1.1131,1.114,1.0976,0.9991,1.0492,1.0805,1.042933333,0.9657,1.0246,1.0531,1.014466667,1.0242,1.1071,1.1156,1.0823,0.0776,0.0758,0.0765,0.076633333
22.75,1.0655,1.077,1.1065,1.083,1.0665,1.1128,1.113,1.097433333,0.9987,1.0487,1.0795,1.0423,0.9687,1.0242,1.055,1.015966667,1.0226,1.1069,1.115,1.0815,0.0776,0.0757,0.0763,0.076533333
23,1.0658,1.0773,1.1069,1.083333333,1.0659,1.1125,1.1139,1.097433333,0.999,1.0487,1.0814,1.043033333,0.9694,1.0259,1.0573,1.017533333,1.0233,1.1067,1.1165,1.082166667,0.0775,0.0758,0.0763,0.076533333
23.25,1.0656,1.0778,1.1068,1.0834,1.0666,1.1124,1.1131,1.097366667,0.9994,1.0486,1.0803,1.042766667,0.9698,1.0274,1.058,1.0184,1.023,1.1068,1.1158,1.081866667,0.0775,0.0758,0.0762,0.0765
23.5,1.0658,1.0772,1.1071,1.083366667,1.0664,1.1122,1.1139,1.0975,0.9988,1.0487,1.0813,1.042933333,0.9712,1.0258,1.0589,1.018633333,1.023,1.107,1.1163,1.0821,0.0776,0.0759,0.0763,0.0766
23.75,1.0656,1.077,1.1067,1.0831,1.0663,1.112,1.1131,1.097133333,0.9987,1.0476,1.0806,1.0423,0.9714,1.026,1.0587,1.0187,1.0235,1.1067,1.1154,1.081866667,0.0775,0.0759,0.0763,0.076566667
